tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36362,7740,8768045,145816,2017-08-01 16:23:56+00:00
892177421306343426,31326,5728,8768045,145816,2017-08-01 00:17:27+00:00
891815181378084864,23598,3790,8768045,145816,2017-07-31 00:18:03+00:00
891689557279858688,39667,7902,8768045,145816,2017-07-30 15:58:51+00:00
891327558926688256,37868,8524,8768045,145816,2017-07-29 16:00:24+00:00
891087950875897856,19072,2852,8768045,145816,2017-07-29 00:08:17+00:00
890971913173991426,11111,1859,8768045,145816,2017-07-28 16:27:12+00:00
890729181411237888,61272,17267,8768045,145816,2017-07-28 00:22:40+00:00
890609185150312448,26251,3934,8768045,145816,2017-07-27 16:25:51+00:00
890240255349198849,29984,6729,8768045,145816,2017-07-26 15:59:51+00:00
890006608113172480,28883,6721,8768045,145816,2017-07-26 00:31:25+00:00
889880896479866881,26240,4569,8768045,145816,2017-07-25 16:11:53+00:00
889665388333682689,45213,9164,8768045,145816,2017-07-25 01:55:32+00:00
889638837579907072,25451,4115,8768045,145816,2017-07-25 00:10:02+00:00
889531135344209921,14232,2063,8768045,145816,2017-07-24 17:02:04+00:00
889278841981685760,23711,4883,8768045,145816,2017-07-24 00:19:32+00:00
888917238123831296,27405,4124,8768045,145816,2017-07-23 00:22:39+00:00
888804989199671297,24075,3889,8768045,145816,2017-07-22 16:56:37+00:00
888554962724278272,18597,3190,8768045,145816,2017-07-22 00:23:06+00:00
888078434458587136,20499,3171,8768045,145816,2017-07-20 16:49:33+00:00
887705289381826560,28458,4932,8768045,145816,2017-07-19 16:06:48+00:00
887517139158093824,43663,10784,8768045,145816,2017-07-19 03:39:09+00:00
887473957103951883,64746,16495,8768045,145816,2017-07-19 00:47:34+00:00
887343217045368832,31674,9586,8768045,145816,2017-07-18 16:08:03+00:00
887101392804085760,28828,5456,8768045,145816,2017-07-18 00:07:08+00:00
886983233522544640,32912,7025,8768045,145816,2017-07-17 16:17:36+00:00
886736880519319552,11292,2947,8768045,145816,2017-07-16 23:58:41+00:00
886680336477933568,21158,4090,8768045,145816,2017-07-16 20:14:00+00:00
886366144734445568,19918,2901,8768045,145816,2017-07-15 23:25:31+00:00
886267009285017600,113,4,8768045,145816,2017-07-15 16:51:35+00:00
886258384151887873,26356,5782,8768045,145816,2017-07-15 16:17:19+00:00
886054160059072513,0,100,8768045,145816,2017-07-15 02:45:48+00:00
885984800019947520,30654,6157,8768045,145816,2017-07-14 22:10:11+00:00
885528943205470208,33854,5854,8768045,145816,2017-07-13 15:58:47+00:00
885518971528720385,19279,3416,8768045,145816,2017-07-13 15:19:09+00:00
885311592912609280,0,16975,8768045,145816,2017-07-13 01:35:06+00:00
885167619883638784,20620,4008,8768045,145816,2017-07-12 16:03:00+00:00
884925521741709313,72682,16597,8768045,145816,2017-07-12 00:01:00+00:00
884876753390489601,26222,5118,8768045,145816,2017-07-11 20:47:12+00:00
884562892145688576,22879,4305,8768045,145816,2017-07-11 00:00:02+00:00
884441805382717440,25495,5215,8768045,145816,2017-07-10 15:58:53+00:00
884247878851493888,68405,18632,8768045,145816,2017-07-10 03:08:17+00:00
884162670584377345,19218,2742,8768045,145816,2017-07-09 21:29:42+00:00
883838122936631299,20580,3151,8768045,145816,2017-07-09 00:00:04+00:00
883482846933004288,43148,9052,8768045,145816,2017-07-08 00:28:19+00:00
883360690899218434,21358,3393,8768045,145816,2017-07-07 16:22:55+00:00
883117836046086144,34916,6085,8768045,145816,2017-07-07 00:17:54+00:00
882992080364220416,22496,3568,8768045,145816,2017-07-06 15:58:11+00:00
882762694511734784,26631,4482,8768045,145816,2017-07-06 00:46:41+00:00
882627270321602560,26357,5575,8768045,145816,2017-07-05 15:48:34+00:00
882268110199369728,42222,10610,8768045,145816,2017-07-04 16:01:23+00:00
882045870035918850,27619,4485,8768045,145816,2017-07-04 01:18:17+00:00
881906580714921986,22909,3116,8768698,145817,2017-07-03 16:04:48+00:00
881666595344535552,47690,9790,8768045,145816,2017-07-03 00:11:11+00:00
881633300179243008,120,7,8768045,145816,2017-07-02 21:58:53+00:00
881536004380872706,46564,14643,8768045,145816,2017-07-02 15:32:16+00:00
881268444196462592,21879,4827,8768045,145816,2017-07-01 21:49:04+00:00
880935762899988482,16081,2554,8768045,145816,2017-06-30 23:47:07+00:00
880872448815771648,20050,3512,8768045,145816,2017-06-30 19:35:32+00:00
880465832366813184,26839,5707,8768045,145816,2017-06-29 16:39:47+00:00
880221127280381952,25427,3818,8768045,145816,2017-06-29 00:27:25+00:00
